date,total_revenue
2025-10-23,3799650.189999903
2025-10-24,3454518.5499998936
2025-10-25,3034425.609999918
2025-10-26,2858925.8299999107
2025-10-27,2998523.599999956
2025-10-28,3288982.9899999285
2025-10-29,3454930.3799999184
2025-10-30,3310009.799999926
2025-10-31,3512322.189999926
2025-11-01,3130558.129999944
2025-11-02,2821105.589999944
2025-11-03,3055660.3599999184
2025-11-04,2950197.5099999458
2025-11-05,3388241.199999918
2025-11-06,3749257.15999995
2025-11-07,3455625.349999925
2025-11-08,3076755.269999956
2025-11-09,2722320.109999963
2025-11-10,3146740.209999935
2025-11-11,3009787.979999961
2025-11-12,3392410.659999951
2025-11-13,3601454.969999926
2025-11-14,3404127.649999935
2025-11-15,3016297.0899999547
2025-11-16,2813429.729999942
2025-11-17,3051221.6599999145
2025-11-18,3310211.979999963
2025-11-19,3446672.419999965
2025-11-20,3623160.349999952
2025-11-21,3360183.879999882
2025-11-22,2903316.249999962
2025-11-23,2467566.779999921
2025-11-24,2692557.349999921
2025-11-25,3089584.7599999434
2025-11-26,2656389.859999937
2025-11-27,1589444.6299999435
2025-11-28,2124764.0199999493
2025-11-29,2575488.0199999386
2025-11-30,2519130.2699998943
2025-12-01,3152870.7899999125
2025-12-02,3444137.5199999195
2025-12-03,3635447.689999883
2025-12-04,4002335.989999865
2025-12-05,3688750.859999883
2025-12-06,3212014.669999965
2025-12-07,2887267.1899998607
2025-12-08,3356337.889999917
2025-12-09,3607355.039999943
2025-12-10,3741762.029999911
2025-12-11,3948254.5799999135
2025-12-12,3823731.379999891
2025-12-13,3180472.5399999795
2025-12-14,2508007.309999938
2025-12-15,3216313.389999893
2025-12-16,3290165.469999989
2025-12-17,3366684.5299999868
2025-12-18,3512910.5299999416
2025-12-19,3232277.599999932
2025-12-20,2894351.1499999263
2025-12-21,2324262.1099999505
2025-12-22,2475093.4399999403
2025-12-23,2336086.1299999543
2025-12-24,1758286.889999946
2025-12-25,1237423.5099999672
2025-12-26,1748114.2599999716
2025-12-27,1831493.9199999413
2025-12-28,2151270.049999912
2025-12-29,2334933.56999995
2025-12-30,2454487.619999952
2025-12-31,2024511.899999977
