date,borough,total_trips
2025-02-07 00:00:00,Brooklyn,848
2025-02-07 00:00:00,EWR,7
2025-02-07 00:00:00,Manhattan,97219
2025-02-07 00:00:00,Queens,7548
2025-02-07 00:00:00,Staten Island,3
2025-02-07 00:00:00,Unknown,270
2025-02-08 00:00:00,Bronx,151
2025-02-08 00:00:00,Brooklyn,675
2025-02-08 00:00:00,EWR,1
2025-02-08 00:00:00,Manhattan,98056
2025-02-08 00:00:00,Queens,5029
2025-02-08 00:00:00,Staten Island,2
2025-02-08 00:00:00,Unknown,321
2025-02-09 00:00:00,Bronx,107
2025-02-09 00:00:00,Brooklyn,559
2025-02-09 00:00:00,EWR,2
2025-02-09 00:00:00,Manhattan,67544
2025-02-09 00:00:00,Queens,9066
2025-02-09 00:00:00,Staten Island,2
2025-02-09 00:00:00,Unknown,265
2025-02-10 00:00:00,Bronx,249
2025-02-10 00:00:00,Brooklyn,813
2025-02-10 00:00:00,EWR,3
2025-02-10 00:00:00,Manhattan,76645
2025-02-10 00:00:00,Queens,8900
2025-02-10 00:00:00,Staten Island,2
2025-02-10 00:00:00,Unknown,260
2025-02-11 00:00:00,Bronx,237
2025-02-11 00:00:00,Brooklyn,940
2025-02-11 00:00:00,EWR,3
2025-02-11 00:00:00,Manhattan,90927
2025-02-11 00:00:00,Queens,6572
2025-02-11 00:00:00,Staten Island,1
2025-02-11 00:00:00,Unknown,206
2025-02-12 00:00:00,Bronx,233
2025-02-12 00:00:00,Brooklyn,933
2025-02-12 00:00:00,EWR,6
2025-02-12 00:00:00,Manhattan,91753
2025-02-12 00:00:00,Queens,6278
2025-02-12 00:00:00,Staten Island,2
2025-02-12 00:00:00,Unknown,274
2025-02-13 00:00:00,Bronx,251
2025-02-13 00:00:00,Brooklyn,1043
2025-02-13 00:00:00,EWR,3
2025-02-13 00:00:00,Manhattan,97163
2025-02-13 00:00:00,Queens,7413
2025-02-13 00:00:00,Staten Island,2
2025-02-13 00:00:00,Unknown,269
2025-02-14 00:00:00,Bronx,232
2025-02-14 00:00:00,Brooklyn,897
2025-02-14 00:00:00,EWR,6
2025-02-14 00:00:00,Manhattan,96867
2025-02-14 00:00:00,Queens,8245
2025-02-14 00:00:00,Staten Island,1
2025-02-14 00:00:00,Unknown,265
2025-02-15 00:00:00,Bronx,171
2025-02-15 00:00:00,Brooklyn,647
2025-02-15 00:00:00,EWR,6
2025-02-15 00:00:00,Manhattan,89050
2025-02-15 00:00:00,Queens,5759
2025-02-15 00:00:00,Staten Island,2
2025-02-15 00:00:00,Unknown,307
2025-02-16 00:00:00,Bronx,113
2025-02-16 00:00:00,Brooklyn,621
2025-02-16 00:00:00,EWR,4
2025-02-16 00:00:00,Manhattan,65749
2025-02-16 00:00:00,Queens,6872
2025-02-16 00:00:00,Staten Island,2
2025-02-16 00:00:00,Unknown,156
2025-02-17 00:00:00,Bronx,98
2025-02-17 00:00:00,Brooklyn,449
2025-02-17 00:00:00,EWR,2
2025-02-17 00:00:00,Manhattan,62024
2025-02-17 00:00:00,Queens,10359
2025-02-17 00:00:00,Staten Island,3
2025-02-17 00:00:00,Unknown,208
2025-02-18 00:00:00,Bronx,251
2025-02-18 00:00:00,Brooklyn,858
2025-02-18 00:00:00,EWR,3
2025-02-18 00:00:00,Manhattan,82978
2025-02-18 00:00:00,Queens,10135
2025-02-18 00:00:00,Staten Island,4
2025-02-18 00:00:00,Unknown,337
2025-02-19 00:00:00,Bronx,251
2025-02-19 00:00:00,Brooklyn,934
2025-02-19 00:00:00,EWR,2
2025-02-19 00:00:00,Manhattan,89968
2025-02-19 00:00:00,Queens,7647
2025-02-19 00:00:00,Staten Island,2
2025-02-19 00:00:00,Unknown,345
2025-02-20 00:00:00,Bronx,274
2025-02-20 00:00:00,Brooklyn,898
2025-02-20 00:00:00,EWR,4
2025-02-20 00:00:00,Manhattan,99242
2025-02-20 00:00:00,Queens,7693
2025-02-20 00:00:00,Staten Island,2
2025-02-20 00:00:00,Unknown,276
2025-02-21 00:00:00,Bronx,269
2025-02-21 00:00:00,Brooklyn,873
2025-02-21 00:00:00,EWR,4
2025-02-21 00:00:00,Manhattan,91759
2025-02-21 00:00:00,Queens,8596
2025-02-21 00:00:00,Staten Island,2
2025-02-21 00:00:00,Unknown,277
2025-02-22 00:00:00,Bronx,192
2025-02-22 00:00:00,Brooklyn,710
2025-02-22 00:00:00,EWR,2
2025-02-22 00:00:00,Manhattan,90523
2025-02-22 00:00:00,Queens,6950
2025-02-22 00:00:00,Staten Island,1
2025-02-22 00:00:00,Unknown,287
2025-02-23 00:00:00,Bronx,168
2025-02-23 00:00:00,Brooklyn,839
2025-02-23 00:00:00,EWR,11
2025-02-23 00:00:00,Manhattan,69011
2025-02-23 00:00:00,Queens,9634
2025-02-23 00:00:00,Staten Island,1
2025-02-23 00:00:00,Unknown,203
2025-02-24 00:00:00,Bronx,248
2025-02-24 00:00:00,Brooklyn,899
2025-02-24 00:00:00,EWR,4
2025-02-24 00:00:00,Manhattan,69573
2025-02-24 00:00:00,Queens,9677
2025-02-24 00:00:00,Staten Island,5
2025-02-24 00:00:00,Unknown,170
2025-02-25 00:00:00,Bronx,283
2025-02-25 00:00:00,Brooklyn,903
2025-02-25 00:00:00,EWR,4
2025-02-25 00:00:00,Manhattan,85250
2025-02-25 00:00:00,Queens,8151
2025-02-25 00:00:00,Staten Island,2
2025-02-25 00:00:00,Unknown,278
2025-02-26 00:00:00,Bronx,283
2025-02-26 00:00:00,Brooklyn,985
2025-02-26 00:00:00,EWR,2
2025-02-26 00:00:00,Manhattan,93175
2025-02-26 00:00:00,Queens,8748
2025-02-26 00:00:00,Staten Island,1
2025-02-26 00:00:00,Unknown,247
2025-02-27 00:00:00,Bronx,259
2025-02-27 00:00:00,Brooklyn,949
2025-02-27 00:00:00,EWR,4
2025-02-27 00:00:00,Manhattan,101803
2025-02-27 00:00:00,Queens,8956
